iter	Passed	Remaining
0	62	61960
1	70	35135
2	84	28174
3	116	29018
4	131	26170
5	133	22050
6	162	23041
7	163	20242
8	164	18159
9	201	19901
10	211	19034
11	213	17608
12	215	16373
13	217	1514	214	295	19420
15	327	20110
16	327	18963
17	347	18963
18	366	18946
19	376	18427
20	377	17592
21	379	16848
22	403	17123
23	404	16431
24	405	15833
25	437	16397
26	439	15834
27	469	16287
28	470	15764
29	473	15310
30	493	15427
31	518	15682
32	520	15245
33	523	14864
34	542	14963
35	549	14706
36	552	14378
37	563	14261
38	569	14039
39	571	13705
40	572	13381
41	575	13122
42	580	12923
43	587	12756
44	596	12658
45	608	12623
46	610	12374
47	628	12468
48	636	12358
49	643	12224
50	652	12138
51	664	12121
52	673	12032
53	674	11818
54	676	11620
55	706	11913
56	708	11726
57	709	11531
58	720	11485
59	720	11292
60	732	11271
61	745	11275
62	745	11093
63	758	11091
64	767	11038
65	768	10881
66	785	10932
67	786	10781
68	791	10673
71	782	10083
72	783	9954
73	784	9816
7472	810	10275	802	9756
76	804	9638
77	816	9652
78	818	9540
79	819	9429
80	865	9818
81	872	9769
82	879	9720
83	881	9608
84	897	9658
85	898	9549
86	904	9493
87	905	9389
88	906	9282
89	908	9184
90	946	9455
91	947	9355
92	973	9496
93	978	9434
94	980	9338
95	981	9246
96	983	9155
97	1027	9457
98	1028	9364
99	1030	9274
100	1032	9186
101	1033	9101
102	1080	9411
103	1082	9323
104	1104	9418
105	1112	9380
106	1126	9405
107	1136	9389
108	1144	9353
109	1145	9269
110	1146	9181
111	1147	9094
112	1148	9015
113	1194	9283
114	1195	9201
115	1197	9129
116	1210	9137
117	1211	9058
118	1213	8981
119	1214	8905
120	1215	8831
121	1216	8757
122	1243	8866
123	1272	8991
124	1288	9018
125	1291	8958
126	1296	8914
127	1319	8986
128	1320	8918
129	1348	9027
130	1350	8959
131	1362	8961
132	1365	8901
133	1367	8834
134	1369	8774
135	1371	8710
136	1375	8662
137	1376	8599
138	1378	8535
139	1379	8475
140	1381	8413
141	1381	8348
142	1388	8320
143	1400	8322
144	1402	8272
145	1405	8218
146	1406	8159
147	1414	8143
148	1415	8086
149	1417	8029
150	1422	7996
151	1423	7941
152	1424	7888
153	1449	7964
154	1457	7946
155	1463	7918
156	1464	7865
157	1465	7810
158	1489	7879
159	1495	7849
160	1496	7797
161	1515	7841
162	1521	7813
163	1531	7809
164	1532	7756
165	1538	7727
166	1545	7707
167	1547	7662
168	1550	7622
169	1553	7582
170	1555	7542
171	1584	7628
172	1596	7633
173	1598	7587
174	1615	7615
175	1629	7627
176	1630	7580
177	1632	7539
178	1645	7549
179	1658	7553
180	1666	7541
181	1667	7496
182	1670	7457
183	1684	7471
184	1688	7439
185	1698	7433
186	1700	7390
187	1715	7407
188	1716	7363
189	1726	7360
190	1730	7329
191	1731	7286
192	1740	7276
193	1741	7236
194	1764	7282
195	1765	7241
196	1786	7283
197	1788	7243
198	1789	7202
199	1807	7230
200	1811	7199
201	1827	7220
202	1835	7204
203	1840	7181
204	1848	7168
205	1884	7261
206	1885	7222
207	1904	7249
208	1915	7249
209	1916	7211
210	1918	7174
211	1920	7136
212	1936	7156
213	1938	7120
214	1939	7082
215	1969	7147
216	1970	7109
217	1971	7073
218	1976	7047
219	1977	7010
220	1978	6972
221	1978	6934
222	1980	6900
223	1981	6864
224	1983	6832
225	1993	6826
226	1994	6792
227	1996	6759
228	1997	6726
229	1998	6691
230	2000	6659
231	2020	6689
232	2032	6690
233	2032	6654
234	2035	6626
235	2057	6661
236	2066	6654
237	2068	6621
238	2099	6686
239	2101	6654
240	2102	6622
241	2104	6591
242	2104	6557
243	2106	6526
244	2107	6494
245	2108	6461
246	2108	6428
247	2110	6398
248	2110	6366
249	2146	6438
250	2147	6408
251	2148	6377
252	2152	6355
253	2153	6324
254	2154	6293
255	2155	6264
256	2171	6279
257	2183	6280
258	2184	6248
259	2184	6218
260	2188	6196
261	2201	6199
262	2202	6172
263	2227	6209
264	2232	6193
265	2233	6164
266	2259	6203
267	2265	6188
268	2266	6159
269	2268	6133
270	2269	6103
271	2270	6076
272	2282	6077
273	2289	6066
274	2291	6040
275	2292	6012
276	2293	5985
277	2296	5963
278	2296	5935
279	2300	5914
280	2301	5887
281	2301	5861
282	2302	5833
283	2321	5851
284	2327	5838
285	2328	5811
286	2329	5787
287	2330	5760
288	2331	5736
289	2336	5721
290	2338	5696
291	2343	5681
292	2344	5656
293	2347	5636
294	2347	5610
295	2359	5612
296	2362	5592
297	2367	5577
298	2368	5552
299	2368	5527
300	2373	5510
301	2375	5490
302	2381	5477
303	2382	5454
304	2385	5436
305	2387	5414
306	2403	5424
307	2403	5400
308	2406	5380
309	2409	5362
310	2414	5348
311	2417	5330
312	2421	5315
313	2425	5299
314	2427	5278
315	2427	5255
316	2430	5236
317	2435	5223
318	2438	5205
319	2443	5193
320	2461	5206
321	2463	5188
322	2466	5169
323	2478	5170
324	2478	5148
325	2494	5156
326	2500	5147
327	2502	5127
328	2503	5105
329	2514	5105
330	2515	5083
331	2523	5077
332	2533	5074
333	2534	5053
334	2551	5064
335	2552	5043
336	2552	5021
337	2554	5002
338	2554	4981
339	2556	4961
340	2557	4942
341	2557	4921
342	2559	4902
343	2638	5032
344	2639	5011
345	2641	4993
346	2643	4974
347	2644	4954
348	2645	4934
349	2646	4914
350	2647	4895
351	2648	4876
352	2675	4904
353	2682	4895
354	2688	4883
355	2688	4863
356	2693	4850
357	2694	4832
358	2695	4812
359	2697	4795
360	2698	4775
361	2702	4763
362	2703	4744
363	2705	4726
364	2706	4708
365	2713	4699
366	2714	4682
367	2717	4667
368	2719	4651
369	2723	4637
370	2732	4633
371	2734	4616
372	2735	4598
373	2749	4602
374	2754	4591
375	2769	4596
376	2776	4588
377	2777	4569
378	2778	4552
379	2779	4534
380	2804	4555
381	2814	4552
382	2815	4535
383	2821	4525
384	2829	4519
385	2829	4501
386	2830	4483
387	2852	4499
388	2859	4491
389	2860	4473
390	2870	4471
391	2871	4453
392	2871	4435
393	2872	4418
394	2874	4402
395	2875	4385
396	2877	4369
397	2877	4352
398	2878	4335
399	2879	4318
400	2902	4335
401	2903	4318
402	2910	4311
403	2919	4306
404	2928	4301
405	2934	4292
406	2940	4283
407	2944	4272
408	2945	4255
409	2956	4253
410	2957	4238
411	2968	4235
412	2969	4220
413	2970	4205
414	3012	4246
415	3012	4229
416	3013	4213
417	3021	4207
418	3023	4192
419	3023	4175
420	3036	4176
421	3037	4160
422	3038	4144
423	3038	4128
424	3039	4112
425	3041	4097
426	3098	4157
427	3105	4150
428	3111	4141
429	3112	4126
430	3114	4111
431	3132	4118
432	3132	4102
433	3138	4093
434	3141	4080
435	3142	4064
436	3142	4048
437	3169	4066
438	3173	4055
439	3175	4041
440	3176	4026
441	3183	4018
442	3184	4004
443	3185	3988
444	3185	3973
445	3186	3958
446	3186	3942
447	3188	3928
448	3189	3914
449	3190	3899
450	3190	3884
451	3193	3871
452	3198	3861
453	3198	3846
454	3217	3854
455	3219	3841
456	3221	3827
457	3222	3813
458	3231	3809
459	3232	3794
460	3233	3780
461	3233	3765
462	3234	3751
463	3239	3742
464	3240	3728
465	3246	3720
466	3259	3719
467	3259	3705
468	326472	341469	3270	3688
470	3281	3686
471	3288	3678
472	3289	3665
473	3290	3651
474	3293	3640
475	329479	3462	3751
480	346477	3322	3627
478	3323	3614
479	3323	3600
480	3327	3590
481	3337	3586
482	3338	3573
483	3339	3560
484	3341	3548
485	334489	3536	3680
490	3537	3667
491	3541	3656
492	3551	3651
493	3551	3637
494	3552	3624
495	3586	3644
496	3590	3634
497	3598	3627
498	3608	3622
499	3613	3613
500	3616	3602
501	3620	3591
502	3623	3579
503	3623	3566
504	3625	3554
505	3626	3540
506	362503	347507	3669	3553
508	3670	3541
509	3672	3528
510	3673	3515
511	3721	3546
512	3729	3540
513	3731	3528
514	3733	3516
515	3734	3503
516	3736	3490
517	3739	3479
518	3766	3491
519	3769	3479
520	3770	3466
521	3771	3453
522	3793	3459
523	3794	3446
524	3802	3440
525	3808	3431
526	3812	3421
527	3817	3412
528	3818	3400
529	3819	3386
530	3828	3381
531	3833	3372
532	3834	3359
533	3835	3346
534	3842	3339
535	3843	3327
536	3849	3319
537	3852	3308
538	3858	3300
539	3860	3288
540	3865	3279
541	3867	3267
542	3886	3270
543	3887	3258
544	3888	3246
545	3888	3233
546	3889	3221
547	3890	3208
548	3891	3196
549	3892	3185
550	3893	3173
551	3894	3160
552	3950	3192
553	3967	3193
554	3968	3181
555	3969	3169
556	3969	3157
557	3970	3145
558	3973	3134
559	3974	3122
560	3975	3110
561	3988	3108
562	3988	3096
563	3991	3085
564	3992	3073
565	3992	3061
566	3993	3050
567	3996	3039
568	4000	3030
569	4002	3019
570	4004	3008
571	4005	2997
572	4006	2985
573	4007	2973
574	4007	2962
575	4008	2950
576	4009	2939
577	4010	2928
578	4011	2916
579	4011	2905
580	4012	2893
581	4017	2885
582	4018	2874
583	4019	2863
584	4020	2852
585	4022	2841
586	4023	2830
587	4024	2819
588	4024	2808
589	4025	2797
590	4025	2785
591	4026	2774
592	4027	2764
593	4028	2753
594	4029	2742
595	4030	2732
596	4031	2721
597	4032	2710
598	4033	2699
599	4034	2689
600	4035	2679
601	403598	3906	2615
599	3906	2604
600	3916	2600
601	3917	2589
602	3917	2579
603	3918	2569
604	3934	2569
605	3936	2559
606	3936	2548
607	3938	2538
608	3938	2528
609	3941	2520
610	3945	2512
611	394615	4104	2558
616	4107	2550
617	411614	396618	411615	396619	411616	396620	411617	396621	4121	2504
622	4122	2494
623	4126	2486
624	4129	2477
625	4130	2467
626	4131	2457
627	4132	2447
