GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
670,1,uol.com.br,br,23172,51730,uol.com.br,br,670,1,23370,52924
1109,2,google.com.br,br,17047,37690,google.com.br,br,1114,2,17141,38013
1288,3,www.gov.br,br,15660,36679,www.gov.br,br,1259,3,16009,37785
1663,4,usp.br,br,13249,23227,usp.br,br,1656,4,13470,23662
1985,5,sp.gov.br,br,11849,24578,sp.gov.br,br,1972,5,12034,24918
2037,6,scielo.br,br,11625,21761,scielo.br,br,2004,6,11900,22193
2232,7,abril.com.br,br,10932,22591,abril.com.br,br,2221,7,11129,23105
2564,8,planalto.gov.br,br,10056,23784,planalto.gov.br,br,2594,8,10149,24089
2650,9,ufmg.br,br,9843,16554,ufmg.br,br,2662,9,9988,16791
3055,10,estadao.com.br,br,8986,17774,estadao.com.br,br,3049,10,9151,18158
3135,11,adv.br,br,8850,15190,adv.br,br,3203,11,8847,15340
3266,12,terra.com.br,br,8586,16266,terra.com.br,br,3285,12,8705,16536
3349,13,jus.br,br,8454,18623,jus.br,br,3367,13,8571,18945
3357,14,leg.br,br,8438,18795,leg.br,br,3389,14,8533,19174
3394,15,amazon.com.br,br,8380,18756,amazon.com.br,br,3404,15,8497,19162
3608,16,blogspot.com.br,br,8051,14954,blogspot.com.br,br,3594,16,8201,15212
3841,17,ebc.com.br,br,7749,16722,ebc.com.br,br,3848,17,7871,17102
3968,18,ig.com.br,br,7569,13474,ig.com.br,br,3993,18,7667,13708
4040,19,mg.gov.br,br,7456,13924,mg.gov.br,br,4102,19,7514,14020
4050,20,ind.br,br,7447,12835,ind.br,br,4155,20,7461,12866
4151,21,rj.gov.br,br,7336,13292,rj.gov.br,br,4237,22,7355,13436
4166,22,ufrj.br,br,7320,11157,ufrj.br,br,4194,21,7425,11313
4411,23,fazenda.gov.br,br,7033,14795,fazenda.gov.br,br,4454,23,7107,14942
4479,24,art.br,br,6983,11567,art.br,br,4536,24,7023,11736
4617,25,in.gov.br,br,6819,14328,in.gov.br,br,4673,26,6899,14580
4664,26,unicamp.br,br,6783,10531,unicamp.br,br,4694,27,6884,10640
4669,27,cnnbrasil.com.br,br,6780,13865,cnnbrasil.com.br,br,4641,25,6927,14108
4767,28,pin-up-bet1.com.br,br,6689,11990,pin-up-bet1.com.br,br,4814,28,6765,12337
4869,29,pr.gov.br,br,6603,12144,pr.gov.br,br,4952,29,6653,12315
5121,30,rs.gov.br,br,6398,11635,rs.gov.br,br,5235,31,6412,11700
5167,31,fiocruz.br,br,6370,11028,fiocruz.br,br,5199,30,6444,11306
5269,32,ufrgs.br,br,6291,9629,ufrgs.br,br,5267,33,6388,9674
5271,33,ibge.gov.br,br,6289,12316,ibge.gov.br,br,5242,32,6409,12492
5380,34,ba.gov.br,br,6211,10568,ba.gov.br,br,5518,34,6218,10590
5434,35,sympla.com.br,br,6167,12974,sympla.com.br,br,5550,35,6195,13143
5663,36,saude.gov.br,br,6018,12499,saude.gov.br,br,5644,36,6131,12744
5729,37,fgv.br,br,5976,11001,fgv.br,br,5720,37,6075,11186
5979,38,ufsc.br,br,5826,8911,ufsc.br,br,5932,38,5942,9039
6265,39,cnpq.br,br,5668,10058,cnpq.br,br,6313,39,5732,10040
6416,40,app.br,br,5581,9008,app.br,br,6453,41,5642,9091
6442,41,blog.br,br,5566,9586,blog.br,br,6409,40,5670,9816
6447,42,correios.com.br,br,5563,14275,correios.com.br,br,6953,48,5391,13723
6577,43,bcb.gov.br,br,5484,11484,bcb.gov.br,br,6618,43,5562,11625
6595,44,sebrae.com.br,br,5473,10884,sebrae.com.br,br,6479,42,5627,11124
6674,45,caixa.gov.br,br,5443,13046,caixa.gov.br,br,6785,44,5477,13144
6713,46,inf.br,br,5428,8624,inf.br,br,6792,45,5475,8637
6870,47,unb.br,br,5351,8141,unb.br,br,6902,46,5417,8205
6886,48,clicrbs.com.br,br,5343,9431,clicrbs.com.br,br,6904,47,5416,9546
7088,49,mercadolivre.com.br,br,5240,9765,mercadolivre.com.br,br,7036,49,5346,9866
7186,50,jusbrasil.com.br,br,5192,9753,jusbrasil.com.br,br,7173,50,5274,9903
7488,51,correiobraziliense.com.br,br,5052,9289,correiobraziliense.com.br,br,7506,51,5139,9423
7494,52,ufba.br,br,5051,7513,ufba.br,br,7568,52,5107,7573
7806,53,puc-rio.br,br,4925,6908,puc-rio.br,br,7822,53,5006,6983
7871,54,sc.gov.br,br,4902,8814,sc.gov.br,br,7984,54,4945,8812
8087,55,unesp.br,br,4817,7368,unesp.br,br,8105,55,4885,7447
8286,56,df.gov.br,br,4730,8280,df.gov.br,br,8355,56,4798,8391
8548,57,pe.gov.br,br,4650,7640,pe.gov.br,br,8699,58,4678,7688
8677,58,infomoney.com.br,br,4611,8728,infomoney.com.br,br,8556,57,4723,8853
8938,59,mec.gov.br,br,4523,9352,mec.gov.br,br,9142,59,4539,9523
8939,60,med.br,br,4523,7744,med.br,br,9174,61,4526,7879
9126,61,gazetadopovo.com.br,br,4463,7728,gazetadopovo.com.br,br,9200,62,4516,7849
9375,62,eco.br,br,4394,6807,eco.br,br,9161,60,4532,7018
9612,63,embrapa.br,br,4324,6842,embrapa.br,br,9558,63,4417,6929
10011,64,poder360.com.br,br,4226,7540,poder360.com.br,br,9981,64,4299,7664
10032,65,ufc.br,br,4221,5931,ufc.br,br,10139,65,4259,5953
10388,66,pro.br,br,4121,6310,pro.br,br,10587,68,4135,6372
10471,67,ufpr.br,br,4102,5970,ufpr.br,br,10439,67,4175,6035
10529,68,reclameaqui.com.br,br,4087,7533,reclameaqui.com.br,br,10659,71,4117,7494
10584,69,fapesp.br,br,4072,6633,fapesp.br,br,10301,66,4209,6796
10592,70,uff.br,br,4069,5919,uff.br,br,10664,72,4117,5953
10618,71,eng.br,br,4064,6046,eng.br,br,10825,73,4080,6078
10639,72,em.com.br,br,4059,7145,em.com.br,br,10634,70,4122,7222
10761,73,mp.br,br,4032,8032,mp.br,br,10618,69,4125,8181
11015,74,anvisa.gov.br,br,3978,7005,anvisa.gov.br,br,10912,74,4063,7131
11074,75,inep.gov.br,br,3965,7399,inep.gov.br,br,11275,76,3981,7483
11142,76,tecmundo.com.br,br,3952,6912,tecmundo.com.br,br,11164,75,4003,7013
11392,77,olhardigital.com.br,br,3900,6729,olhardigital.com.br,br,11404,77,3959,6846
11418,78,bb.com.br,br,3894,8476,bb.com.br,br,11734,81,3895,8507
11504,79,techtudo.com.br,br,3877,6791,techtudo.com.br,br,11658,79,3911,6931
11517,80,ufpe.br,br,3876,5442,ufpe.br,br,11677,80,3908,5464
11684,81,inpe.br,br,3838,5693,inpe.br,br,11460,78,3949,5796
11722,82,uem.br,br,3831,6217,uem.br,br,11935,83,3854,6274
11760,83,go.gov.br,br,3825,6487,go.gov.br,br,11950,84,3850,6568
11814,84,tripadvisor.com.br,br,3816,6513,tripadvisor.com.br,br,11899,82,3861,6662
12002,85,es.gov.br,br,3776,6375,es.gov.br,br,12478,85,3749,6358
12658,86,ms.gov.br,br,3662,6133,ms.gov.br,br,13109,86,3642,6215
13114,87,hallbook.com.br,br,3581,5179,hallbook.com.br,br,13478,90,3582,5251
13116,88,istoe.com.br,br,3580,6046,istoe.com.br,br,13236,87,3620,6110
13232,89,pa.gov.br,br,3561,5543,pa.gov.br,br,13399,88,3594,5574
13294,90,ce.gov.br,br,3549,5914,ce.gov.br,br,13412,89,3592,5954
13615,91,ac.gov.br,br,3503,5497,ac.gov.br,br,13959,92,3503,5577
13665,92,uerj.br,br,3495,5101,uerj.br,br,13745,91,3538,5112
13895,93,ufscar.br,br,3458,4876,ufscar.br,br,14133,94,3477,4898
13972,94,cartacapital.com.br,br,3446,5520,cartacapital.com.br,br,14129,93,3477,5571
13973,95,srv.br,br,3446,5480,srv.br,br,14572,100,3406,5514
14003,96,coop.br,br,3442,5632,coop.br,br,14236,97,3461,5694
14078,97,ibict.br,br,3429,4734,ibict.br,br,14235,96,3462,4765
14184,98,unifesp.br,br,3413,5066,unifesp.br,br,14195,95,3468,5103
14361,99,gov.br,br,3386,6391,gov.br,br,14302,98,3450,6492
14468,100,tur.br,br,3371,5482,tur.br,br,14898,102,3360,5545
14705,101,senac.br,br,3338,5788,senac.br,br,14452,99,3427,5838
14800,102,ufrn.br,br,3326,4774,ufrn.br,br,14855,101,3367,4799
14945,103,conjur.com.br,br,3304,6021,conjur.com.br,br,15242,103,3313,6055
15177,104,opovo.com.br,br,3268,5152,opovo.com.br,br,15755,107,3242,5160
15216,105,bet.br,br,3262,5749,bet.br,br,15521,104,3274,5855
15218,106,folha.com.br,br,3262,5088,folha.com.br,br,15868,110,3226,5089
15252,107,mt.gov.br,br,3257,5602,mt.gov.br,br,15568,106,3268,5687
15284,108,inss.gov.br,br,3253,6184,inss.gov.br,br,15542,105,3272,6286
15630,109,itau.com.br,br,3201,6487,itau.com.br,br,16174,111,3184,6478
15807,110,shopee.com.br,br,3179,6052,shopee.com.br,br,15848,109,3229,6118
15810,111,pb.gov.br,br,3179,5305,pb.gov.br,br,16179,112,3183,5333
16249,112,forbes.com.br,br,3123,5715,forbes.com.br,br,15836,108,3231,5862
16259,113,itamaraty.gov.br,br,3123,4556,itamaraty.gov.br,br,16486,114,3141,4557
16507,114,olx.com.br,br,3089,4855,olx.com.br,br,16706,115,3112,4955
16671,115,canaltech.com.br,br,3066,5519,canaltech.com.br,br,16446,113,3147,5593
17030,116,ipea.gov.br,br,3023,5165,ipea.gov.br,br,16855,116,3092,5235
17092,117,mus.br,br,3016,4463,mus.br,br,17425,120,3025,4450
17222,118,espn.com.br,br,3000,5252,espn.com.br,br,17287,117,3040,5297
17224,119,pin-up-casino24.com.br,br,3000,4505,pin-up-casino24.com.br,br,17354,119,3033,4654
17290,120,pucrs.br,br,2992,4330,pucrs.br,br,17333,118,3036,4378
17391,121,migalhas.com.br,br,2981,4922,migalhas.com.br,br,17606,122,3004,4977
17581,122,brasildefato.com.br,br,2959,5017,brasildefato.com.br,br,17455,121,3021,5105
17744,123,camara.gov.br,br,2940,5359,camara.gov.br,br,18020,123,2956,5406
17997,124,brasil.gov.br,br,2909,4347,brasil.gov.br,br,18441,127,2911,4325
18049,125,mte.gov.br,br,2904,5628,mte.gov.br,br,18405,126,2915,5637
18225,126,def.br,br,2885,4301,def.br,br,18602,129,2894,4393
18410,127,ufg.br,br,2866,4111,ufg.br,br,18516,128,2904,4158
18451,128,magazineluiza.com.br,br,2861,4772,magazineluiza.com.br,br,18392,125,2916,4841
18507,129,arq.br,br,2856,3984,arq.br,br,19240,136,2831,4018
18514,130,catracalivre.com.br,br,2855,4497,catracalivre.com.br,br,18879,131,2867,4543
18543,131,bndes.gov.br,br,2851,4970,bndes.gov.br,br,18224,124,2936,5076
18647,132,lance.com.br,br,2841,4534,lance.com.br,br,19011,133,2853,4546
18847,133,otempo.com.br,br,2822,4759,otempo.com.br,br,19023,134,2852,4825
18893,134,capes.gov.br,br,2818,4239,capes.gov.br,br,19003,132,2854,4290
18910,135,1winscasinos-brazil.com.br,br,2817,4078,1winscasinos-brazil.com.br,br,18859,130,2869,4227
19171,136,petrobras.com.br,br,2791,4546,petrobras.com.br,br,19024,135,2852,4650
19313,137,istoedinheiro.com.br,br,2778,4681,istoedinheiro.com.br,br,19309,137,2823,4709
19519,138,meioemensagem.com.br,br,2757,4365,meioemensagem.com.br,br,19746,138,2782,4382
19679,139,ma.gov.br,br,2743,4777,ma.gov.br,br,20060,139,2753,4826
20405,140,economia.gov.br,br,2677,4756,economia.gov.br,br,20795,140,2686,4770
20554,141,uai.com.br,br,2666,4168,uai.com.br,br,21132,142,2656,4188
20591,142,revistaforum.com.br,br,2663,4141,revistaforum.com.br,br,21146,143,2655,4134
20758,143,al.gov.br,br,2649,4186,al.gov.br,br,21190,144,2652,4194
20851,144,jor.br,br,2641,3975,jor.br,br,20970,141,2670,4010
20909,145,pucsp.br,br,2636,3775,pucsp.br,br,21279,148,2645,3775
21182,146,serpro.gov.br,br,2612,4517,serpro.gov.br,br,21250,146,2647,4580
21230,147,unisinos.br,br,2609,3746,unisinos.br,br,21258,147,2647,3779
21385,148,nubank.com.br,br,2596,4797,nubank.com.br,br,21200,145,2651,4894
22068,149,jovempan.com.br,br,2541,4225,jovempan.com.br,br,22462,149,2551,4309
22088,150,santander.com.br,br,2539,5134,santander.com.br,br,22879,150,2521,5130
22246,151,to.gov.br,br,2526,3880,to.gov.br,br,23093,154,2506,3943
22286,152,portaldaindustria.com.br,br,2523,4350,portaldaindustria.com.br,br,22942,151,2517,4381
22663,153,pi.gov.br,br,2497,3909,pi.gov.br,br,23094,155,2506,3937
22748,154,ufpa.br,br,2492,3356,ufpa.br,br,23060,152,2509,3364
22752,155,verdesmares.com.br,br,2491,3923,verdesmares.com.br,br,23079,153,2507,4000
23158,156,mma.gov.br,br,2463,3862,mma.gov.br,br,23587,157,2471,3852
23315,157,moneytimes.com.br,br,2453,3834,moneytimes.com.br,br,23413,156,2483,3879
23503,158,jb.com.br,br,2440,3525,jb.com.br,br,24009,158,2444,3573
23766,159,folhape.com.br,br,2423,3639,folhape.com.br,br,24593,161,2405,3682
24074,160,ufsm.br,br,2403,3241,ufsm.br,br,24313,160,2424,3278
24278,161,gtanet.com.br,br,2390,3474,gtanet.com.br,br,24685,163,2400,3493
24343,162,even3.com.br,br,2386,3933,even3.com.br,br,24276,159,2426,3977
24362,163,valor.com.br,br,2385,3606,valor.com.br,br,24594,162,2405,3648
24487,164,am.gov.br,br,2377,3994,am.gov.br,br,24964,164,2382,4035
24568,165,tec.br,br,2373,3403,tec.br,br,25538,168,2351,3389
24776,166,ufop.br,br,2360,3172,ufop.br,br,25105,165,2374,3220
25124,167,ufes.br,br,2339,3095,ufes.br,br,25142,166,2372,3150
25522,168,nuvemshop.com.br,br,2317,4460,nuvemshop.com.br,br,33675,217,1969,3613
25696,169,unievangelica.edu.br,br,2308,2920,unievangelica.edu.br,br,26792,172,2284,2908
25704,170,ufpb.br,br,2307,3191,ufpb.br,br,26023,169,2325,3213
25818,171,1xbetbrazil.com.br,br,2301,3220,1xbetbrazil.com.br,br,25466,167,2355,3346
26292,172,inca.gov.br,br,2275,3687,inca.gov.br,br,26124,170,2318,3737
26572,173,americanas.com.br,br,2260,3885,americanas.com.br,br,26704,171,2288,3969
26676,174,polimentosroberto.com.br,br,2255,3213,polimentosroberto.com.br,br,27211,174,2261,3255
26787,175,mj.gov.br,br,2249,3534,mj.gov.br,br,27639,178,2237,3550
26906,176,uel.br,br,2243,3158,uel.br,br,27355,175,2253,3168
27133,177,cgu.gov.br,br,2233,3745,cgu.gov.br,br,27873,182,2225,3727
27137,178,senado.gov.br,br,2233,3371,senado.gov.br,br,27738,180,2232,3379
27183,179,ufu.br,br,2231,3082,ufu.br,br,27528,176,2243,3127
27357,180,eb.mil.br,br,2221,3736,eb.mil.br,br,28303,185,2202,3766
27407,181,rogstecnologia.com.br,br,2220,2699,rogstecnologia.com.br,br,27539,177,2243,2755
